[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.7198760452841877
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.692364306493371
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.03465934312169826
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.2609341652761357
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.6083811730952196
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.04769392663326849
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.519688903358989
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.635028013761384
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.057447316394655876
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.551608266178177
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.8614408760228858
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0031020052114264464
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.747528621825676
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.6937305343998084
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.01600013454409873
[2023-03-19 23:22:05.710] [logger] [info] lambda = -1.966660712035205
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.265395681103288
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.02303154497862968
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.4153980617819104
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.4456393992275633
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.029813837808543325
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.8176991905799493
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.7339816692780503
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.05128379074619234
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.6441672138186303
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.2825457642897256
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.027047439763388824
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.4104726510792402
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.4842963202194275
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0032236349139273257
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.7609003582801654
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.985839431329057
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.00017775140540214835
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.1349145055842125
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.265501453227077
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.0009091833328398186
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.581279172656228
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.4969057600876234
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.008708779441568976
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.5505096580779485
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.7129656509944002
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.001715166922005435
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.9669168687111545
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.8197015622355153
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.01891109699510707
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.815410370453783
[2023-03-19 23:22:05.710] [logger] [info] lambda = 3.034981623293848
[2023-03-19 23:22:05.710] [logger] [info] lambda = -0.0017024989719643035
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.2745642586166426
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.2760522659226865
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.0243017229315412
[2023-03-19 23:22:05.710] [logger] [info] lambda = -2.671532231892935
[2023-03-19 23:22:05.710] [logger] [info] lambda = 2.562405737963431
[2023-03-19 23:22:05.710] [logger] [info] lambda = 0.00207016943453957
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.442371855110557
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.482748537446451
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.006939453331869805
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.580337861046951
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.4247415697624093
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.038217744290475614
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.8863538629034284
[2023-03-19 23:22:05.711] [logger] [info] lambda = 3.03935321295512
[2023-03-19 23:22:05.711] [logger] [info] lambda = -0.00862026814967368
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.9756126234163554
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.7751721015128545
[2023-03-19 23:22:05.711] [logger] [info] lambda = -0.014553418734900063
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.601174738942689
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.366635233704385
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.02244482131868799
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.529584156000393
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.7760954806210822
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.006790328558967212
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.3136875580143874
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.7273871243742693
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.015238724890095425
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.737659897181268
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.8140553090480016
[2023-03-19 23:22:05.711] [logger] [info] lambda = -0.02765187990783409
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.824252034029947
[2023-03-19 23:22:05.711] [logger] [info] lambda = 3.0495482427721177
[2023-03-19 23:22:05.711] [logger] [info] lambda = -0.0028421198147752643
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.6049092839165593
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.5123378752352687
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.010865121407933047
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.7321925692660867
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.6613026083107414
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.022797993556182908
[2023-03-19 23:22:05.711] [logger] [info] lambda = -3.04933866954417
[2023-03-19 23:22:05.711] [logger] [info] lambda = 2.888747628921376
[2023-03-19 23:22:05.711] [logger] [info] lambda = 0.010277532738321512
[2023-03-19 23:22:05.711] [logger] [info] lambda = -2.565377747513803
